ID,词条,注释,English,བོད་སྐད་,语保,,Dobbar,多续,,,,
0113,什么地方,,where,,ə⁵³ʐe⁵³,,,,,,,
0114,家里,,at home,,tɕĩ⁵⁵nõ¹³,,,,,,,
0115,城里,,in town,,ʈʂũ¹³tɕʰɯ⁵³nõ¹³,,,,,,,
0116,乡下,,in the countryside,,ʈʂũ¹³ᵐbe⁵³nõ¹³,,,,,,,
0117,上面,从~滚下来,onside,,tɕʰa¹³lɯ⁵³,,,,,,,
0118,下面,从~爬上去,downside,,wa¹³lɯ⁵³,,,,,,,
0119,左边,,leftside,,wø̃⁵⁵ⁿdʑa⁵³,,,,,,,
0120,右边,,rightside,,le⁵⁵ⁿdʑa⁵³,,,,,,,
0121,中间,排队排在~,mid,,tɕɯ⁵⁵kʰɯ⁵³,,,,,,,
0122,前面,排队排在~,front,,ŋə̃⁵⁵zə⁵³,,,,,,,
0123,后面,排队排在~,back,,nõ¹³ŋã⁵³,,,,,,,
0124,末尾,排队排在~,end,,te⁵⁵mõ⁵³,,,,,,,
0125,对面,,oppositeside,,tʰe⁵⁵ke⁵⁵,,,,,,,
0126,面前,,in front of,,ŋə̃⁵⁵,,,,,,,
0127,背后,,behind,,dʑə¹³,,,,,,,
0128,里面,躲在~,inside,,nõ¹³,,,,,,,
0129,外面,衣服晒在~,outside,,ɕə⁵⁵,,,,,,,
0130,旁边,,side,,tse⁵⁵kʰe⁵³,,,,,,,
0131,上,碗在桌子~,on,,tɕʰa¹³lɯ⁵³,,,,,,,
0132,下,凳子在桌子~,under,,wa¹³lɯ⁵³,,,,,,,
0133,边儿,桌子的~,edge,,tse⁵⁵kʰe⁵³,,,,,,,
0134,角儿,桌子的~,corner,,ta⁵⁵ᵑɡo⁵³,,,,,,,
0135,上去,他~了,go up,,tu⁵³pɯ⁵⁵tʰʏ⁵³,,,,,,,
0136,下来,他~了,come down,,nũ⁵³ɬe⁵⁵le⁵⁵,,,,,,,
0137,进去,他~了,go inside,,nõ¹³ŋã⁵³pɯ¹³tʰʏ⁵³,,,,,,,
0138,出来,他~了,come out,,ɕɯ⁵⁵lɯ⁵³ᵐbɯ⁵³,,,,,,,
0139,出去,他~了,go out,,ɕɯ⁵⁵lɯ⁵³pɯ¹³tʰʏ⁵³,,,,,,,
0140,回来,他~了,come back,,ɬe⁵⁵le⁵³,,,,,,,
0141,起来,天冷~了,get,,wʌ⁵³ɬe⁵⁵le¹³,,,,,,,
