ID,词条,注释,English,བོད་སྐད་,语保,,Dobbar,多续,,,,
0067,时候,吃饭的~,time,,ty¹³,,,,,,,
0068,什么时候,,when,,nã¹³,,,,,,,
0069,现在,,now,,ã¹³kʰɯ⁵³,,,,,,,
0070,以前,十年~,ago,,ŋə̃⁵⁵zə⁵⁵,,,,,,,
0071,以后,十年~,later,,nõ¹³ŋã⁵³,,,,,,,
0072,一辈子,,a whole life,,mɯ⁵⁵tsʰe⁵³də¹³,,,,,,,
0073,今年,,this year,,py¹³,,,,,,,
0074,明年,,next year,,sẽ⁵⁵,,,,,,,
0075,后年,,the year after next,,ⁿdɪ⁵⁵,,,,,,,
0076,去年,,last year,,ty⁵⁵,,,,,,,
0077,前年,,the year before last,,ʐy¹³,,,,,,,
0078,往年,过去的年份,former years,,ŋə̃⁵⁵zə⁵⁵,,,,,,,
0079,年初,,the beginning of the year,,lo¹³ᵑɡʏ⁵⁵,,,,,,,
0080,年底,,the end of the year,,lo⁵⁵zə⁵⁵,,,,,,,
0081,今天,,today,,pɯ⁵⁵si⁵⁵,,,,,,,
0082,明天,,tomorrow,,se¹³si⁵⁵,,,,,,,
0083,后天,,the day after tomorrow,,ⁿde¹³si⁵⁵,,,,,,,
0084,大后天,,three days from now,,wa¹³si⁵⁵,,,,,,,
0085,昨天,,yesterday,,ji⁵⁵si⁵⁵,,,,,,,
0086,前天,,the day before yesterday,,ji⁵⁵ʐi⁵³si⁵³,,,,,,,
0087,大前天,,three days ago,,jo⁵⁵ʐi⁵³si⁵³,,,,,,,
0088,整天,,all day,,de¹³si⁵⁵,,,,,,,
0089,每天,,everyday,,ᵑɡi⁵⁵si⁵³kʌ¹³to⁵³mõ⁵³,,,,,,,
0090,早晨,,early morning,,wo¹³tsʰɪ⁵³,,,,,,,
0091,上午,,morning,,wo⁵⁵kə⁵⁵,,,,,,,
0092,中午,,noon,,nĩ⁵⁵ɕə⁵⁵,,,,,,,
0093,下午,,afternoon,,mã¹³nõ⁵³,,,,,,,
0094,傍晚,,evening,,,,,,,,,
0095,白天,,daytime,,nə⁵⁵nõ⁵³,,,,,,,
0096,夜晚,与白天相对，统称,night,,tsʰẽ⁵⁵nõ¹³,,,,,,,
0097,半夜,,midnight,,nã⁵⁵ɕə⁵⁵,,,,,,,
0098,正月,农历,the first month of Chinese calendar,,ⁿde¹³tõ¹³ᵐbo⁵³,,,,,,,
0099,大年初一,,the first day of Chinese calendar,,lo⁵⁵sə⁵⁵tsʰi⁵⁵tɕi⁵³,,,,,,,
0100,元宵节,,Lantern Festival,,,,,,,,,
0101,清明,,Tomb Sweeping Day,,,,,,,,,
0102,端午,,Dragon Boat Festival,,,,,,,,,
0103,七月十五,农历,Ghost Festival,,dỹ⁵⁵pe⁵⁵tɕo⁵⁵ŋã⁵³,,,,,,,
0104,中秋,,Mid-Autumn Festival,,,,,,,,,
0105,冬至,,winter solstice,,nɯ⁵³lo¹³,,,,,,,
0106,腊月,,the last month of Chinese calendar,,ⁿde¹³tɕo⁵⁵nĩ⁵⁵pe⁵³,,,,,,,
0107,除夕,农历,the last day of Chinese calendar,,nã⁵⁵ᵑɡã⁵⁵,,,,,,,
0108,历书,,calendar,,lɯ¹³tʰo⁵³,,,,,,,
0109,阴历,,lunar calendar,,,,,,,,,
0110,阳历,,solar calendar,,,,,,,,,
0111,星期天,,Sunday,,,,,,,,,
0112,地方,,place,,se⁵56tɕe⁵³,,,,,,,
